name,url,category,description
Goltz syndrome,https://en.wikipedia.org/wiki/Goltz_syndrome,G,"Focal dermal hypoplasia is a form of ectodermal dysplasia.[1] It is a multisystem disorder characterized primarily by skin manifestations to the atrophic and hypoplastic areas of skin which are present at birth. These defects manifest as yellow-pink bumps on the skin and pigmentation changes.[2] The disorder is also associated with shortness of stature and some evidence suggests that it can cause epilepsy.[3]
"
"Gonadal dysgenesis, XX type","https://en.wikipedia.org/wiki/Gonadal_dysgenesis,_XX_type",G,"XX gonadal dysgenesis is a type of female hypogonadism in which the ovaries do not function to induce puberty in a person assigned female at birth, whose karyotype is 46,XX.[1] Individuals with XX gonadal dysgenesis have normal-appearing external genitalia as well as Müllerian structures (e.g., cervix, vagina, uterus). Due to the nearly absent or nonfunctional streak ovaries (under-developed ovaries that are then small and fibrous tissue, hence the term ""streak""),[2] the individual is low in estrogen levels (hypoestrogenic) and has high levels of follicle-stimulating hormone (FSH) and luteinizing hormone (LH), hormones that cycle in the reproductive system.[3] As a result, the diagnosis often occurs after a concern for delayed puberty or amenorrhea. Treatment generally involves hormone replacement therapy with estrogen and progesterone.[4]
"
Goldenhar syndrome,https://en.wikipedia.org/wiki/Goldenhar_syndrome,G,"Goldenhar syndrome is a rare congenital defect characterized by incomplete development of the ear, nose, soft palate, lip and mandible on usually one side of the body. Common clinical manifestations include limbal dermoids, preauricular skin tags and strabismus.[1] It is associated with anomalous development of the first branchial arch and second branchial arch.[2]
"
Gonadal dysgenesis Turner type,https://en.wikipedia.org/wiki/Gonadal_dysgenesis_Turner_type,G,"
"
Goitre,https://en.wikipedia.org/wiki/Goitre,G,"
"
GMS syndrome,https://en.wikipedia.org/wiki/GMS_syndrome,G,"GMS syndrome is a syndrome characterised by goniodysgenesis, intellectual disability, and short stature.[1]
"
"Gonadal dysgenesis, XY female type","https://en.wikipedia.org/wiki/Gonadal_dysgenesis,_XY_female_type",G,"XY complete gonadal dysgenesis, also known as Swyer syndrome, is a type of defect hypogonadism in a person whose karyotype is 46,XY. Though they typically have normal vulvas,[1] the person has underdeveloped gonads, fibrous tissue termed ""streak gonads"", and if left untreated, will not experience puberty. The cause is a lack or inactivation of an SRY gene which is responsible for sexual differentiation. Pregnancy is sometimes possible in Swyer syndrome with assisted reproductive technology.[2][3][4] The phenotype is usually similar to Turner syndrome (45,X0) due to a lack of X inactivation. The typical medical treatment is hormone replacement therapy.[5]
"
"Glycogenosis, type 0","https://en.wikipedia.org/wiki/Glycogenosis,_type_0",G,"Glycogen storage disease type 0 is a disease characterized by a deficiency in the glycogen synthase enzyme (GSY). Although glycogen synthase deficiency does not result in storage of extra glycogen in the liver, it is often classified as a glycogen storage disease because it is another defect of glycogen storage and can cause similar problems. There are two isoforms (types) of glycogen synthase enzyme; GSY1 in muscle and GSY2 in the liver, each with a corresponding form of the disease.[1] Mutations in the liver isoform (GSY2), causes fasting hypoglycemia, high blood ketones, increased free fatty acids and low levels of alanine and lactate.  Conversely, feeding in these patients results in hyperglycemia and hyperlactatemia.
"
"GM2-gangliosidosis, B, B1, AB variant","https://en.wikipedia.org/wiki/GM2-gangliosidosis,_B,_B1,_AB_variant",G,"Tay–Sachs disease is an inherited lysosomal storage disease that results in the destruction of nerve cells in the brain and spinal cord.[1] The most common form is infantile Tay–Sachs disease, which becomes apparent around the age of three to six months of age, with the infant losing the ability to turn over, sit, or crawl.[1] This is then followed by seizures, hearing loss, and inability to move, with death usually occurring by the age of three to five.[3][1] Less commonly, the disease may occur later in childhood, adolescence, or adulthood (juvenile or late-onset).[1] These forms tend to be less severe,[1] but the juvenile form typically results in death by the age of 15.[4]
"
"GM2 gangliosidosis, 0 variant","https://en.wikipedia.org/wiki/GM2_gangliosidosis,_0_variant",G,"Sandhoff disease is a lysosomal genetic, lipid storage disorder caused by the inherited deficiency to create functional beta-hexosaminidases A and B.[1][2] These catabolic enzymes are needed to degrade the neuronal membrane components, ganglioside GM2, its derivative GA2, the glycolipid globoside in visceral tissues,[1] and some oligosaccharides. Accumulation of these metabolites leads to a progressive destruction of the central nervous system and eventually to death.[1][3] The rare autosomal recessive[4][5] neurodegenerative disorder is clinically almost indistinguishable from Tay–Sachs disease, another genetic disorder that disrupts beta-hexosaminidases A and S. There are three subsets of Sandhoff disease based on when first symptoms appear: classic infantile, juvenile and adult late onset.[citation needed]
"
Glycosuria,https://en.wikipedia.org/wiki/Glycosuria,G,"Glycosuria is the excretion of glucose into the urine. Ordinarily, urine contains no glucose because the kidneys are able to reabsorb all of the filtered glucose from the tubular fluid back into the bloodstream. Glycosuria is nearly always caused by an elevated blood sugar level, most commonly due to untreated diabetes. Rarely, glycosuria is due to an intrinsic problem with glucose reabsorption within the kidneys (such as Fanconi syndrome), producing a condition termed renal glycosuria.[1] Glycosuria leads to excessive water loss into the urine with resultant dehydration, a process called osmotic diuresis.
"
Goniodysgenesis mental retardation short stature,https://en.wikipedia.org/wiki/Goniodysgenesis_mental_retardation_short_stature,G,"GMS syndrome is a syndrome characterised by goniodysgenesis, intellectual disability, and short stature.[1]
"
Glycogenosis type VIII,https://en.wikipedia.org/wiki/Glycogenosis_type_VIII,G,"Glycogen storage disease type VI (GSD VI) is a type of glycogen storage disease caused by a deficiency in liver glycogen phosphorylase or other components of the associated phosphorylase cascade system.[2] It is also known as ""Hers' disease"", after Henri G. Hers, who characterized it in 1959.[3] The scope of GSD VI now also includes glycogen storage disease type VIII,[2] IX[2] (caused by phosphorylase b kinase deficiency) and X[2] (deficiency protein kinase A).
"
Glycogenosis type VI,https://en.wikipedia.org/wiki/Glycogenosis_type_VI,G,"Glycogen storage disease type VI (GSD VI) is a type of glycogen storage disease caused by a deficiency in liver glycogen phosphorylase or other components of the associated phosphorylase cascade system.[2] It is also known as ""Hers' disease"", after Henri G. Hers, who characterized it in 1959.[3] The scope of GSD VI now also includes glycogen storage disease type VIII,[2] IX[2] (caused by phosphorylase b kinase deficiency) and X[2] (deficiency protein kinase A).
"
Glycogenosis type VII,https://en.wikipedia.org/wiki/Glycogenosis_type_VII,G,"Phosphofructokinase deficiency is a rare muscular metabolic disorder, with an autosomal recessive inheritance pattern. It is characterized as a deficiency in the Phosphofructokinase (PFK) enzyme throughout the body, including the skeletal muscles and red blood cells. Phosphofrucotkinase is an enzyme involved in the glycolytic process. The lack of PFK blocks the completion of the glycolytic pathway. Therefore, all products past the block would be deficient, including Adenosine triphosphate (ATP).
"
Glycogenosis type V,https://en.wikipedia.org/wiki/Glycogenosis_type_V,G,"Glycogen storage disease type V (GSD5, GSD-V),[1] also known as McArdle's disease,[2] is a metabolic disorder, one of the metabolic myopathies, more specifically a muscle glycogen storage disease, caused by a deficiency of myophosphorylase.[3][4] Its incidence is reported as one in 100,000, roughly the same as glycogen storage disease type I.[2]
"
Glycogenosis type III,https://en.wikipedia.org/wiki/Glycogenosis_type_III,G,"Glycogen storage disease type III (GSD III) is an autosomal recessive metabolic disorder and inborn error of metabolism (specifically of carbohydrates) characterized by a deficiency in glycogen debranching enzymes.[3]
It is also known as Cori's disease in honor of the 1947 Nobel laureates Carl Cori and Gerty Cori. Other names include Forbes disease in honor of clinician Gilbert Burnett Forbes (1915–2003), an American physician who further described the features of the disorder, or limit dextrinosis, due to the limit dextrin-like structures in cytosol.[2] Limit dextrin is the remaining polymer produced after hydrolysis of glycogen. Without glycogen debranching enzymes to further convert these branched glycogen polymers to glucose, limit dextrinosis abnormally accumulates in the cytoplasm.[5]
"
Granulomatous rosacea,https://en.wikipedia.org/wiki/Granulomatous_rosacea,G,"


"
Glycogen storage disease type VIII,https://en.wikipedia.org/wiki/Glycogen_storage_disease_type_VIII,G,"Glycogen storage disease type VI (GSD VI) is a type of glycogen storage disease caused by a deficiency in liver glycogen phosphorylase or other components of the associated phosphorylase cascade system.[2] It is also known as ""Hers' disease"", after Henri G. Hers, who characterized it in 1959.[3] The scope of GSD VI now also includes glycogen storage disease type VIII,[2] IX[2] (caused by phosphorylase b kinase deficiency) and X[2] (deficiency protein kinase A).
"
